feature,importance_mean,importance_std
prot_qpgp,2.476987134304816,0.2636837062856763
teff,0.3248442672847158,0.11982183266262013
ls_qpgp_gap,0.19357671076818644,0.04304425509389044
lightpred_qpgp_gap,0.1580204119399065,0.03351662432327079
log_flux_median,0.09855940309123891,0.03667911525331167
lightpred_pred,0.08426049467848987,0.028445614158460194
prot_ls,0.06799594566229322,0.021954844839512273
cnn_pred,0.04528710914099334,0.015152385770296508
cnn_qpgp_gap,0.041799805763928465,0.015186555160040431
log_flux_std,0.036706265570116435,0.015606465068533974
gps_qpgp_gap,0.03503376067984759,0.020146166625986974
qpgp_logL,0.016028765305591285,0.013540380659821181
n_points,0.00835224085291918,0.0065655461247469205
q_gps,0.0073913457365870515,0.02510638681372171
prot_gps,0.003139501755691221,0.016299727005495663
prot_acf,0.0001839175993197384,0.0001956874018738194
gps_available,0.00010006949652062725,0.00019864502898313285
qpgp_success,-1.1102230246251566e-17,4.839349969133125e-17
acf_available,-4.315179943289449e-05,4.813143671703274e-05
cadence_days,-0.007684549686576736,0.009659935638286666
time_span_days,-0.012515194240237792,0.0103211954611461
